CodeYear,Country,Code,Year,Population,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
ALB-2019,Albania,ALB,2019,2873883,12457.84572,5230,11.56,0.15,
DZA-2019,Algeria,DZA,2019,42705372,11356.97307,4010,14.78,0.22,750.45
AGO-2019,Angola,AGO,2019,32353592,7168.857842,2070,13.34,0.14,178.03
ATG-2019,Antigua and Barbuda,ATG,2019,92127,20451.03079,16420,14.18,0.28,1016.47
ARG-2019,Argentina,ARG,2019,44745516,22144.51364,11260,13.6,0.36,2198.88
ARM-2019,Armenia,ARM,2019,2820604,13878.41859,4660,11.38,0.13,1616.18
AUS-2019,Australia,AUS,2019,25357168,50820.66371,54910,19.35,1.14,5294.46
AUT-2019,Austria,AUT,2019,8879939,55613.24148,51010,15.82,0.62,6134.13
AZE-2019,Azerbaijan,AZE,2019,10232761,16135.62279,4510,10.42,0.15,605.93
BHS-2019,Bahamas,BHS,2019,404563,37005.09487,32420,14.16,0.31,2227.64
BHR-2019,Bahrain,BHR,2019,1494195,45148.97071,22230,14.57,0.3,1880.58
BGD-2019,Bangladesh,BGD,2019,165516224,4638.904454,2250,11.8,0.12,123.29
BRB-2019,Barbados,BRB,2019,280193,16891.8638,17130,14.38,0.25,1028.83
BLR-2019,Belarus,BLR,2019,9673971,21313.61148,6370,12.57,0.14,1198.62
BEL-2019,Belgium,BEL,2019,11510569,51081.75493,48050,14.96,0.48,5846.9
BLZ-2019,Belize,BLZ,2019,389103,6867.756531,4610,14.33,0.2,445.72
BEN-2019,Benin,BEN,2019,12290443,3113.318539,1250,11.85,0.1,81.99
BMU-2019,Bermuda,BMU,2019,63833,79967.58874,117290,14.52,0.39,
BTN-2019,Bhutan,BTN,2019,767467,11176.51858,3150,12.07,0.15,432.13
BOL-2019,Bolivia,BOL,2019,11777318,8628.591425,3520,15.06,0.25,630.76
BIH-2019,Bosnia and Herzegovina,BIH,2019,3360718,14224.12716,6170,11.51,0.15,1476.8
BWA-2019,Botswana,BWA,2019,2499705,17066.4534,7170,11.87,0.19,1122.14
BRA-2019,Brazil,BRA,2019,211782880,14637.67081,9220,16.72,0.24,1497.81
BRN-2019,Brunei,BRN,2019,438058,67555.3926,32230,10.36,0.46,1400.91
BGR-2019,Bulgaria,BGR,2019,7052536,22773.89409,9500,11.14,0.17,1797.51
BFA-2019,Burkina Faso,BFA,2019,20951638,2145.960525,770,11.66,0.09,122.41
BDI-2019,Burundi,BDI,2019,11874838,751.4789613,240,13.09,0.07,61.8
KHM-2019,Cambodia,KHM,2019,16207746,4212.283703,1530,12.36,0.09,316.05
CMR-2019,Cameroon,CMR,2019,25782342,3580.181943,1540,11.89,0.11,136.24
CAN-2019,Canada,CAN,2019,37522584,49359.24742,46540,14.95,0.47,5520.65
CPV-2019,Cape Verde,CPV,2019,577037,7189.128211,,12.13,0.14,369.68
CAF-2019,Central African Republic,CAF,2019,5209329,955.1916385,520,14.65,0.07,78.44
TCD-2019,Chad,TCD,2019,16126868,1608.378059,700,12.65,0.1,69.4
CHL-2019,Chile,CHL,2019,19039484,23595.70116,14900,15.2,0.39,2424.15
CHN-2019,China,CHN,2019,1421864064,13988.2091,10310,11.31,0.12,880.19
COL-2019,Colombia,COL,2019,50187404,13819.85146,6570,12.05,0.23,1204.3
COM-2019,Comoros,COM,2019,790993,3125.790536,1380,12.23,0.09,168.64
COG-2019,Congo,COG,2019,5570736,4489.284806,1810,13.04,0.13,81.69
CRI-2019,Costa Rica,CRI,2019,5084527,19249.16992,12120,13.01,0.25,1636.18
CIV-2019,Cote d'Ivoire,CIV,2019,26147544,5108.141062,2290,11.19,0.12,179.55
HRV-2019,Croatia,HRV,2019,4129749,27512.02038,15540,11.69,0.18,2167.81
CYP-2019,Cyprus,CYP,2019,1228840,38763.19452,28600,15.7,0.44,3017.27
CZE-2019,Czechia,CZE,2019,10536876,40731.74112,22110,11.14,0.21,3477.03
COD-2019,Democratic Republic of Congo,COD,2019,89906896,1026.167646,530,13.64,0.08,40.61
DNK-2019,Denmark,DNK,2019,5795879,55898.20363,63460,14.1,0.52,6015.46
DJI-2019,Djibouti,DJI,2019,1073999,7123.102907,3110,12.04,0.11,104.14
DMA-2019,Dominica,DMA,2019,71446,11699.02118,8210,14.28,0.22,675.37
DOM-2019,Dominican Republic,DOM,2019,10881886,17766.40306,8100,15.04,0.24,1140.04
ECU-2019,Ecuador,ECU,2019,17343742,11238.18377,6090,14.59,0.3,934.52
EGY-2019,Egypt,EGY,2019,105618672,10975.89676,2690,14.58,0.21,582.23
SLV-2019,El Salvador,SLV,2019,6280222,8331.298521,3980,13.24,0.21,656.71
GNQ-2019,Equatorial Guinea,GNQ,2019,1553037,22214.04612,6320,13.21,0.22,607.43
EST-2019,Estonia,EST,2019,1327039,37120.73737,23050,12.19,0.19,2616.81
SWZ-2019,Eswatini,SWZ,2019,1169620,8434.862219,3710,11.93,0.16,610.49
ETH-2019,Ethiopia,ETH,2019,114120592,2552.113646,850,12.48,0.09,75.11
FJI-2019,Fiji,FJI,2019,918472,13748.43825,5800,11.54,0.11,545.31
FIN-2019,Finland,FIN,2019,5521539,47181.84804,49940,14.96,0.53,4710.22
FRA-2019,France,FRA,2019,64399760,44822.99712,42550,16.63,0.52,5492.53
GAB-2019,Gabon,GAB,2019,2242788,15359.09339,7170,13.11,0.19,432.19
