CodeYear,Country,Code,Year,Population,GDPperCapita,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc
ALB-2019,Albania,ALB,2019,2873883,12457.84572,11.56,0.15
DZA-2019,Algeria,DZA,2019,42705372,11356.97307,14.78,0.22
AGO-2019,Angola,AGO,2019,32353592,7168.857842,13.34,0.14
ATG-2019,Antigua and Barbuda,ATG,2019,92127,20451.03079,14.18,0.28
ARG-2019,Argentina,ARG,2019,44745516,22144.51364,13.6,0.36
ARM-2019,Armenia,ARM,2019,2820604,13878.41859,11.38,0.13
AUS-2019,Australia,AUS,2019,25357168,50820.66371,19.35,1.14
AUT-2019,Austria,AUT,2019,8879939,55613.24148,15.82,0.62
AZE-2019,Azerbaijan,AZE,2019,10232761,16135.62279,10.42,0.15
BHS-2019,Bahamas,BHS,2019,404563,37005.09487,14.16,0.31
BHR-2019,Bahrain,BHR,2019,1494195,45148.97071,14.57,0.3
BGD-2019,Bangladesh,BGD,2019,165516224,4638.904454,11.8,0.12
BRB-2019,Barbados,BRB,2019,280193,16891.8638,14.38,0.25
BLR-2019,Belarus,BLR,2019,9673971,21313.61148,12.57,0.14
BEL-2019,Belgium,BEL,2019,11510569,51081.75493,14.96,0.48
BLZ-2019,Belize,BLZ,2019,389103,6867.756531,14.33,0.2
BEN-2019,Benin,BEN,2019,12290443,3113.318539,11.85,0.1
BMU-2019,Bermuda,BMU,2019,63833,79967.58874,14.52,0.39
BTN-2019,Bhutan,BTN,2019,767467,11176.51858,12.07,0.15
BOL-2019,Bolivia,BOL,2019,11777318,8628.591425,15.06,0.25
BIH-2019,Bosnia and Herzegovina,BIH,2019,3360718,14224.12716,11.51,0.15
BWA-2019,Botswana,BWA,2019,2499705,17066.4534,11.87,0.19
BRA-2019,Brazil,BRA,2019,211782880,14637.67081,16.72,0.24
BRN-2019,Brunei,BRN,2019,438058,67555.3926,10.36,0.46
BGR-2019,Bulgaria,BGR,2019,7052536,22773.89409,11.14,0.17
BFA-2019,Burkina Faso,BFA,2019,20951638,2145.960525,11.66,0.09
