CodeYear,Year,Country,Code,SuicideRate,Population,CostOfHealthLiving,ShareMenWithMental,ShareWomenWithMental,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
ALB-2019,2019,Albania,ALB,4.300000191,2873883,4.117,10.81,12.22,12457.84572,5230,11.56,0.15,
DZA-2019,2019,Algeria,DZA,2.5,42705372,3.796,13.93,15.61,11356.97307,4010,14.78,0.22,750.45
AGO-2019,2019,Angola,AGO,6.099999905,32353592,4.352,12.76,13.81,7168.857842,2070,13.34,0.14,178.03
ATG-2019,2019,Antigua and Barbuda,ATG,0.400000006,92127,4.391,14.07,14.19,20451.03079,16420,14.18,0.28,1016.47
ARG-2019,2019,Argentina,ARG,8.399999619,44745516,,13.15,13.95,22144.51364,11260,13.6,0.36,2198.88
ARM-2019,2019,Armenia,ARM,3.299999952,2820604,3.237,11.09,11.48,13878.41859,4660,11.38,0.13,1616.18
AUS-2019,2019,Australia,AUS,12.5,25357168,2.325,19.29,19.33,50820.66371,54910,19.35,1.14,5294.46
AUT-2019,2019,Austria,AUT,14.60000038,8879939,2.818,14.79,16.76,55613.24148,51010,15.82,0.62,6134.13
AZE-2019,2019,Azerbaijan,AZE,4.099999905,10232761,2.459,10.23,10.47,16135.62279,4510,10.42,0.15,605.93
BHS-2019,2019,Bahamas,BHS,3.5,404563,4.364,14.08,14.16,37005.09487,32420,14.16,0.31,2227.64
BHR-2019,2019,Bahrain,BHR,8.899999619,1494195,3.573,13.96,15.72,45148.97071,22230,14.57,0.3,1880.58
BGD-2019,2019,Bangladesh,BGD,3.700000048,165516224,3.024,11.38,12.19,4638.904454,2250,11.8,0.12,123.29
BRB-2019,2019,Barbados,BRB,0.6000000238,280193,,14.44,14.22,16891.8638,17130,14.38,0.25,1028.83
BLR-2019,2019,Belarus,BLR,21.20000076,9673971,3.31,12.18,12.77,21313.61148,6370,12.57,0.14,1198.62
BEL-2019,2019,Belgium,BEL,18.29999924,11510569,2.943,14.77,15.11,51081.75493,48050,14.96,0.48,5846.9
BLZ-2019,2019,Belize,BLZ,7.099999905,389103,2.221,14.51,14.13,6867.756531,4610,14.33,0.2,445.72
BEN-2019,2019,Benin,BEN,7.800000191,12290443,3.664,11.51,12.12,3113.318539,1250,11.85,0.1,81.99
