CodeYear,Entity,Code,Year,HealthExpenditurePerCapita,PrevalenceEatingDisorderPerc,PrevalanceMentalDisorderPerc,GDP per capita,Population
AFG-2015,Afghanistan,AFG,2015,211.59,0.12,17.13,,33753500
AFG-2016,Afghanistan,AFG,2016,234.14,0.12,17.11,,34636212
AFG-2017,Afghanistan,AFG,2017,259.79,0.12,17.1,,35643420
AFG-2018,Afghanistan,AFG,2018,294.31,0.12,17.1,,36686788
AFG-2019,Afghanistan,AFG,2019,285.56,0.12,17.12,,37769496
ALB-2015,Albania,ALB,2015,568.92,0.14,11.58,11083.82337,2882482
ALB-2016,Albania,ALB,2016,591.67,0.14,11.56,11185.13315,2881064
ALB-2017,Albania,ALB,2017,639.82,0.14,11.55,11733.76326,2879361
ALB-2018,Albania,ALB,2018,726.98,0.14,11.55,12227.38339,2877019
DZA-2015,Algeria,DZA,2015,838.51,0.22,14.74,11826.53571,39543148
DZA-2016,Algeria,DZA,2016,768.08,0.22,14.72,11128.59917,40339328
DZA-2017,Algeria,DZA,2017,737.04,0.22,14.71,10928.87671,41136548
DZA-2018,Algeria,DZA,2018,734.99,0.22,14.73,11394.36455,41927008
DZA-2019,Algeria,DZA,2019,750.45,0.22,14.78,11356.97307,42705372
AND-2015,Andorra,AND,2015,3096.17,0.56,15.45,,71766
AND-2016,Andorra,AND,2016,3065.62,0.56,15.45,,72563
AND-2017,Andorra,AND,2017,3319.41,0.57,15.45,,73853
AND-2018,Andorra,AND,2018,3607,0.57,15.46,,75034
AND-2019,Andorra,AND,2019,3716.27,0.57,15.5,,76361
AGO-2015,Angola,AGO,2015,191.2,0.14,13.35,7753.698881,28127724
AGO-2016,Angola,AGO,2016,192.72,0.14,13.35,7338.263937,29154742
AGO-2017,Angola,AGO,2017,204.08,0.14,13.36,7489.971728,30208634
AGO-2018,Angola,AGO,2018,188.51,0.14,13.35,7780.421364,31273538
AGO-2019,Angola,AGO,2019,178.03,0.14,13.34,7168.857842,32353592
ATG-2015,Antigua and Barbuda,ATG,2015,998.49,0.28,14.06,19531.68836,89958
ATG-2016,Antigua and Barbuda,ATG,2016,1020.28,0.28,14.06,20042.9711,90575
ATG-2017,Antigua and Barbuda,ATG,2017,967.3,0.28,14.06,19045.34425,91133
ATG-2018,Antigua and Barbuda,ATG,2018,1049.16,0.28,14.1,19940.25642,91644
ATG-2019,Antigua and Barbuda,ATG,2019,1016.47,0.28,14.18,20451.03079,92127
ARG-2015,Argentina,ARG,2015,2059.33,0.35,13.58,21238.33668,43257064
ARG-2016,Argentina,ARG,2016,1831.54,0.36,13.59,20946.91469,43668236
ARG-2017,Argentina,ARG,2017,2470.11,0.36,13.6,23354.45878,44054616
ARG-2018,Argentina,ARG,2018,2260.4,0.36,13.6,23125.21063,44413592
ARG-2019,Argentina,ARG,2019,2198.88,0.36,13.6,22144.51364,44745516
ARM-2015,Armenia,ARM,2015,1008.7,0.13,11.37,10704.47194,2878598
ARM-2016,Armenia,ARM,2016,1065.28,0.13,11.37,10879.35692,2865841
ARM-2017,Armenia,ARM,2017,1255.46,0.13,11.37,12339.48325,2851929
ARM-2018,Armenia,ARM,2018,1303.19,0.13,11.37,12724.89875,2836563
ARM-2019,Armenia,ARM,2019,1616.18,0.13,11.38,13878.41859,2820604
AUS-2015,Australia,AUS,2015,4392.07,1.11,19.01,48099.39011,23820240
AUS-2016,Australia,AUS,2016,4632.32,1.11,18.98,50418.68877,24195706
AUS-2017,Australia,AUS,2017,4715.83,1.11,18.96,50451.63907,24590336
AUS-2018,Australia,AUS,2018,4876.28,1.12,19.07,51563.77168,24979228
AUS-2019,Australia,AUS,2019,5294.46,1.14,19.35,50820.66371,25357168
AUT-2015,Austria,AUT,2015,5204.62,0.62,15.74,51712.44394,8642422
AUT-2016,Austria,AUT,2016,5476.68,0.61,15.77,53340.20317,8736491
AUT-2017,Austria,AUT,2017,5641.18,0.61,15.79,54527.47216,8797497
AUT-2018,Austria,AUT,2018,5898.35,0.61,15.8,55395.48142,8840518
AUT-2019,Austria,AUT,2019,6134.13,0.62,15.82,55613.24148,8879939
AZE-2015,Azerbaijan,AZE,2015,615.16,0.15,10.41,14567.21971,9863485
AZE-2016,Azerbaijan,AZE,2016,581.39,0.15,10.4,14001.91215,9976254
AZE-2017,Azerbaijan,AZE,2017,528.12,0.15,10.39,14917.56045,10071569
AZE-2018,Azerbaijan,AZE,2018,517.13,0.15,10.4,16544.61566,10152524
AZE-2019,Azerbaijan,AZE,2019,605.93,0.15,10.42,16135.62279,10232761
BHS-2015,Bahamas,BHS,2015,1747.15,0.31,14.07,34669.77727,392707
BHS-2016,Bahamas,BHS,2016,1919.69,0.31,14.07,34744.87825,395986
BHS-2017,Bahamas,BHS,2017,2398.94,0.31,14.07,35656.18462,399027
BHS-2018,Bahamas,BHS,2018,2248.73,0.31,14.1,36128.58097,401911
BHS-2019,Bahamas,BHS,2019,2227.64,0.31,14.16,37005.09487,404563
BHR-2015,Bahrain,BHR,2015,2272.86,0.29,14.58,47910.05797,1362157
BHR-2016,Bahrain,BHR,2016,2176,0.3,14.55,45642.30518,1409668
BHR-2017,Bahrain,BHR,2017,2262.75,0.3,14.53,47904.35171,1456844
BHR-2018,Bahrain,BHR,2018,1962.29,0.3,14.54,47023.80848,1487346
BHR-2019,Bahrain,BHR,2019,1880.58,0.3,14.57,45148.97071,1494195
BGD-2015,Bangladesh,BGD,2015,93.85,0.11,11.9,3607.041118,157830000
BGD-2016,Bangladesh,BGD,2016,95.18,0.11,11.86,3836.474063,159784576
BGD-2017,Bangladesh,BGD,2017,101.18,0.12,11.83,4097.460705,161793968
BGD-2018,Bangladesh,BGD,2018,114.09,0.12,11.81,4373.231018,163683952
BGD-2019,Bangladesh,BGD,2019,123.29,0.12,11.8,4638.904454,165516224
BRB-2015,Barbados,BRB,2015,1050.83,0.25,14.31,17019.98587,278095
BRB-2016,Barbados,BRB,2016,1065.85,0.25,14.32,17252.82912,278660
BRB-2017,Barbados,BRB,2017,1045.57,0.25,14.32,16684.24374,279199
BRB-2018,Barbados,BRB,2018,1053.73,0.25,14.34,17221.13446,279702
BRB-2019,Barbados,BRB,2019,1028.83,0.25,14.38,16891.8638,280193
BLR-2015,Belarus,BLR,2015,1100.08,0.14,12.66,19615.95997,9700609
BLR-2016,Belarus,BLR,2016,1053.89,0.14,12.65,18253.84433,9708111
BLR-2017,Belarus,BLR,2017,1058.24,0.14,12.64,19804.30756,9707874
BLR-2018,Belarus,BLR,2018,1072.71,0.14,12.61,20936.57635,9695573
BLR-2019,Belarus,BLR,2019,1198.62,0.14,12.57,21313.61148,9673971
