Entity,Code,Year,EatingDisorderPrevalancePercent,GNI,DepressionPrevalancePerc,Life satisfaction in Cantril Ladder (World Happiness Report 2022),
Afghanistan,AFG,2015,0.12,590,5.11,2.66171813,Asia
Afghanistan,AFG,2016,0.12,550,5.11,2.694303274,Asia
Afghanistan,AFG,2017,0.12,530,5.11,2.375091791,Asia
Afghanistan,AFG,2018,0.12,510,5.12,,
Afghanistan,AFG,2019,0.12,520,5.13,2.522900105,
Albania,ALB,2015,0.14,4390,,,Europe
Albania,ALB,2016,0.14,4320,2.61,5.004402637,Europe
Albania,ALB,2017,0.14,4290,2.61,4.995317936,Europe
Albania,ALB,2018,0.14,4860,2.62,5.364909649,
Albania,ALB,2019,0.15,5230,2.63,5.117400169,
Algeria,DZA,2015,0.22,4850,2.61,4.639548302,
Algeria,DZA,2016,0.22,4370,4.31,5.043086052,
Algeria,DZA,2017,0.22,3950,4.3,4.744627476,
Algeria,DZA,2018,0.22,3980,4.32,,
Algeria,DZA,2019,0.22,4010,4.37,4.88710022,
Angola,AGO,2015,0.14,3920,4.31,5.248912334,
Angola,AGO,2016,0.14,2480,5.85,,
Angola,AGO,2017,0.14,2010,5.86,,
Angola,AGO,2018,0.14,1900,5.86,,
Angola,AGO,2019,0.14,2070,5.86,,
Antigua and Barbuda,ATG,2015,0.28,12850,5.85,,
Antigua and Barbuda,ATG,2016,0.28,13580,3.05,,
Antigua and Barbuda,ATG,2017,0.28,14320,3.05,,
Antigua and Barbuda,ATG,2018,0.28,15880,3.09,,
Antigua and Barbuda,ATG,2019,0.28,16420,3.17,,
Argentina,ARG,2015,0.35,12600,3.05,,
Argentina,ARG,2016,0.36,12220,2.6,5.792796612,
Argentina,ARG,2017,0.36,13140,2.6,6.085560799,
Argentina,ARG,2018,0.36,12430,2.6,5.900567055,
Argentina,ARG,2019,0.36,11260,2.59,5.929299831,
Armenia,ARM,2015,0.13,4010,2.61,6.039330006,
Armenia,ARM,2016,0.13,3760,3.16,5.062448502,
Armenia,ARM,2017,0.13,3950,3.16,5.4880867,
Armenia,ARM,2018,0.13,4240,3.17,,
Armenia,ARM,2019,0.13,4660,3.19,5.282599926,
Australia,AUS,2015,1.11,60490,3.15,4.287736416,
Australia,AUS,2016,1.11,54090,4.83,7.17699337,
Australia,AUS,2017,1.11,51480,4.73,7.233994961,
Australia,AUS,2018,1.12,53070,4.75,7.137367725,
