YearCode,Entity,Code,Year,GNI,EatingDisorderPrevalancePercent,DepressionPrevalancePerc,DeathsBySuicide,LifeSatisfactionRate,DeathsHeartDisease,HealthCareExpenditure
AFG-2015,Afghanistan,AFG,2015,590,0.12,5.11,0.59,2.66171813,22.94,211.59
AFG-2016,Afghanistan,AFG,2016,550,0.12,5.11,0.59,2.694303274,22.91,234.14
AFG-2017,Afghanistan,AFG,2017,530,0.12,5.11,0.63,2.375091791,24.17,259.79
AFG-2018,Afghanistan,AFG,2018,510,0.12,5.12,0.62,,23.9,294.31
AFG-2019,Afghanistan,AFG,2019,520,0.12,5.13,0.64,2.522900105,24.62,285.56
ALB-2015,Albania,ALB,2015,4390,0.14,,0.77,,56.52,568.92
ALB-2016,Albania,ALB,2016,4320,0.14,2.61,0.74,5.004402637,56.64,591.67
ALB-2017,Albania,ALB,2017,4290,0.14,2.61,0.72,4.995317936,56.79,639.82
ALB-2018,Albania,ALB,2018,4860,0.14,2.62,0.69,5.364909649,56.94,726.98
ALB-2019,Albania,ALB,2019,5230,0.15,2.63,0.67,5.117400169,56.93,
DZA-2015,Algeria,DZA,2015,4850,0.22,2.61,0.8,4.639548302,46.43,838.51
DZA-2016,Algeria,DZA,2016,4370,0.22,4.31,0.77,5.043086052,46.99,768.08
DZA-2017,Algeria,DZA,2017,3950,0.22,4.3,0.76,4.744627476,47.64,737.04
DZA-2018,Algeria,DZA,2018,3980,0.22,4.32,0.75,,48.13,734.99
DZA-2019,Algeria,DZA,2019,4010,0.22,4.37,0.75,4.88710022,48.7,750.45
AGO-2015,Angola,AGO,2015,3920,0.14,4.31,0.92,5.248912334,11.92,191.2
AGO-2016,Angola,AGO,2016,2480,0.14,5.85,0.93,,12.27,192.72
AGO-2017,Angola,AGO,2017,2010,0.14,5.86,0.98,,12.78,204.08
AGO-2018,Angola,AGO,2018,1900,0.14,5.86,1.01,,13.34,188.51
AGO-2019,Angola,AGO,2019,2070,0.14,5.86,1.04,,13.92,178.03
ATG-2015,Antigua and Barbuda,ATG,2015,12850,0.28,5.85,0.47,,32.92,998.49
ATG-2016,Antigua and Barbuda,ATG,2016,13580,0.28,3.05,0.46,,32.89,1020.28
ATG-2017,Antigua and Barbuda,ATG,2017,14320,0.28,3.05,0.45,,32.9,967.3
ATG-2018,Antigua and Barbuda,ATG,2018,15880,0.28,3.09,0.45,,32.91,1049.16
ATG-2019,Antigua and Barbuda,ATG,2019,16420,0.28,3.17,0.45,,32.87,1016.47
ARG-2015,Argentina,ARG,2015,12600,0.35,3.05,1.44,,28.97,2059.33
ARG-2016,Argentina,ARG,2016,12220,0.36,2.6,1.43,5.792796612,29.16,1831.54
ARG-2017,Argentina,ARG,2017,13140,0.36,2.6,1.43,6.085560799,29.29,2470.11
ARG-2018,Argentina,ARG,2018,12430,0.36,2.6,1.45,5.900567055,29.15,2260.4
ARG-2019,Argentina,ARG,2019,11260,0.36,2.59,1.44,5.929299831,29.16,2198.88
ARM-2015,Armenia,ARM,2015,4010,0.13,2.61,1.08,6.039330006,47.39,1008.7
ARM-2016,Armenia,ARM,2016,3760,0.13,3.16,1.07,5.062448502,47.4,1065.28
ARM-2017,Armenia,ARM,2017,3950,0.13,3.16,1.04,5.4880867,48.03,1255.46
ARM-2018,Armenia,ARM,2018,4240,0.13,3.17,1.03,,48.22,1303.19
ARM-2019,Armenia,ARM,2019,4660,0.13,3.19,1.03,5.282599926,48.28,1616.18
AUS-2015,Australia,AUS,2015,60490,1.11,3.15,1.95,4.287736416,29.95,4392.07
AUS-2016,Australia,AUS,2016,54090,1.11,4.83,1.88,7.17699337,29.78,4632.32
AUS-2017,Australia,AUS,2017,51480,1.11,4.73,1.79,7.233994961,30.01,4715.83
AUS-2018,Australia,AUS,2018,53070,1.12,4.75,1.73,7.137367725,30.15,4876.28
AUS-2019,Australia,AUS,2019,54910,1.14,4.83,1.7,7.183499813,30.21,5294.46
AUT-2015,Austria,AUT,2015,47480,0.62,4.95,1.82,7.25703764,39.94,5204.62
