CodeYear,Country,Code,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),"GDP per capita (expenditure, multiple price benchmarks)",Population (historical estimates),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent)
ALB-2019,Albania,ALB,2019,11.56,12457.84572,2873883,0.15
DZA-2019,Algeria,DZA,2019,14.78,11356.97307,42705372,0.22
AGO-2019,Angola,AGO,2019,13.34,7168.857842,32353592,0.14
ATG-2019,Antigua and Barbuda,ATG,2019,14.18,20451.03079,92127,0.28
ARG-2019,Argentina,ARG,2019,13.6,22144.51364,44745516,0.36
ARM-2019,Armenia,ARM,2019,11.38,13878.41859,2820604,0.13
AUS-2019,Australia,AUS,2019,19.35,50820.66371,25357168,1.14
AUT-2019,Austria,AUT,2019,15.82,55613.24148,8879939,0.62
AZE-2019,Azerbaijan,AZE,2019,10.42,16135.62279,10232761,0.15
BHS-2019,Bahamas,BHS,2019,14.16,37005.09487,404563,0.31
BHR-2019,Bahrain,BHR,2019,14.57,45148.97071,1494195,0.3
BGD-2019,Bangladesh,BGD,2019,11.8,4638.904454,165516224,0.12
BRB-2019,Barbados,BRB,2019,14.38,16891.8638,280193,0.25
BLR-2019,Belarus,BLR,2019,12.57,21313.61148,9673971,0.14
BEL-2019,Belgium,BEL,2019,14.96,51081.75493,11510569,0.48
BLZ-2019,Belize,BLZ,2019,14.33,6867.756531,389103,0.2
BEN-2019,Benin,BEN,2019,11.85,3113.318539,12290443,0.1
BMU-2019,Bermuda,BMU,2019,14.52,79967.58874,63833,0.39
BTN-2019,Bhutan,BTN,2019,12.07,11176.51858,767467,0.15
BOL-2019,Bolivia,BOL,2019,15.06,8628.591425,11777318,0.25
BIH-2019,Bosnia and Herzegovina,BIH,2019,11.51,14224.12716,3360718,0.15
BWA-2019,Botswana,BWA,2019,11.87,17066.4534,2499705,0.19
BRA-2019,Brazil,BRA,2019,16.72,14637.67081,211782880,0.24
BRN-2019,Brunei,BRN,2019,10.36,67555.3926,438058,0.46
BGR-2019,Bulgaria,BGR,2019,11.14,22773.89409,7052536,0.17
BFA-2019,Burkina Faso,BFA,2019,11.66,2145.960525,20951638,0.09
BDI-2019,Burundi,BDI,2019,13.09,751.4789613,11874838,0.07
KHM-2019,Cambodia,KHM,2019,12.36,4212.283703,16207746,0.09
CMR-2019,Cameroon,CMR,2019,11.89,3580.181943,25782342,0.11
CAN-2019,Canada,CAN,2019,14.95,49359.24742,37522584,0.47
